,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE
1199,2024-05-10,Condo/Co-op,430 M St SW Unit N-401,Washington,DC,20024.0,149900.0,0.0,1.0,WATERFRONT SW RLA,515.0,,1964.0,932.0,38.8759321,-77.0185279
1200,2024-04-15,Single Family Residential,3222 4th St SE,Washington,DC,20032.0,380000.0,5.0,3.0,Congress Heights,1208.0,4892.0,2004.0,0.0,38.8421389,-77.0003292
1201,2024-04-01,Single Family Residential,5105 Ayers Pl SE,Washington,DC,20019.0,410000.0,3.0,1.5,Marshall Heights,1920.0,4000.0,1956.0,0.0,38.8882082,-76.9274169
1202,2024-03-31,Townhouse,1525 Fort Davis St SE,Washington,DC,20020.0,250000.0,2.0,1.5,Fort Dupont Park,1479.0,2315.0,1942.0,0.0,38.8690367,-76.9466877
1203,2024-05-29,Condo/Co-op,1425 4th St SW Unit A208,Washington,DC,20024.0,415000.0,1.0,1.0,R. L. A. SW,867.0,,1965.0,1050.0,38.8727407,-77.0187079
1204,2024-04-05,Condo/Co-op,212 Oakwood St SE #220,Washington,DC,20032.0,187500.0,1.0,1.0,Congress Heights,599.0,,1947.0,366.0,38.8479612,-77.0045237
1205,2024-04-22,Townhouse,1430 Ridge Pl SE,Washington,DC,20020.0,390000.0,3.0,2.0,Anacostia,1368.0,1120.0,1925.0,0.0,38.8690197,-76.984029
1206,2024-05-27,Condo/Co-op,3423 5th St SE #45,Washington,DC,20032.0,130000.0,1.0,1.0,Congress Heights,625.0,,1964.0,241.0,38.8392822,-76.999556
1208,2024-04-24,Single Family Residential,5424 Call Pl SE,Washington,DC,20019.0,251750.0,3.0,1.0,Marshall Heights,960.0,4000.0,1973.0,0.0,38.8837554,-76.9230278
1209,2024-03-08,Condo/Co-op,70 N St SE #1015,Washington,DC,20003.0,409900.0,0.0,1.0,Old City 1,546.0,,2020.0,396.0,38.8748381,-77.0068654
1210,2024-03-26,Single Family Residential,2 Knox Cir SE,Washington,DC,20020.0,475000.0,4.0,3.5,Randle Heights,1760.0,3115.0,2000.0,0.0,38.8537111,-76.9677338
1211,2024-05-10,Condo/Co-op,5045 Call Pl SE #202,Washington,DC,20019.0,151000.0,2.0,1.0,Marshall Heights,770.0,,1964.0,456.0,38.8842316,-76.928839
1212,2024-03-07,Townhouse,5041 Benning Rd SE,Washington,DC,20019.0,278900.0,3.0,2.0,Fort Dupont Park,1727.0,2911.0,1950.0,0.0,38.8773458,-76.9314604
1213,2024-05-17,Condo/Co-op,601 Wharf St SW #506,Washington,DC,20024.0,1150000.0,2.0,2.5,SOUTHWEST WATERFRONT,1330.0,,2022.0,1798.0,38.8765839,-77.0213072
1214,2024-04-10,Condo/Co-op,429 N St SW Unit S-606,Washington,DC,20024.0,462000.0,2.0,2.0,WATERFRONT SW RLA,1213.0,,1964.0,1618.0,38.8750193,-77.0189778
1215,2024-04-15,Condo/Co-op,601 Wharf St SW #207,Washington,DC,20024.0,940000.0,1.0,2.0,SOUTHWEST WATERFRONT,1315.0,,2022.0,1713.0,38.8765839,-77.0213072
1216,2024-04-15,Condo/Co-op,1101 3rd St SW #709,Washington,DC,20024.0,279360.0,1.0,1.0,R. L. A. SW,526.0,,1960.0,541.0,38.8770732,-77.0158287
1217,2024-04-30,Condo/Co-op,601 Wharf St SW #604,Washington,DC,20024.0,1195000.0,2.0,2.0,SOUTHWEST WATERFRONT,1190.0,,2022.0,1617.0,38.8765839,-77.0213072
1218,2024-04-08,Condo/Co-op,210 Oakwood St SE #201,Washington,DC,20032.0,270000.0,2.0,1.0,Congress Heights,847.0,,1947.0,470.0,38.8481605,-77.0044011
1219,2024-05-13,Single Family Residential,3739 O St SE,Washington,DC,20019.0,516000.0,7.0,3.0,Hillcrest,2312.0,5128.0,1963.0,0.0,38.8730762,-76.9500604
1220,2024-05-07,Condo/Co-op,5 Brandywine St SE #34,Washington,DC,20032.0,65000.0,2.0,1.0,Congress Heights,723.0,,1947.0,704.0,38.8300382,-77.0068307
1221,2024-04-12,Condo/Co-op,300 50th St SE #203,Washington,DC,20019.0,100000.0,1.0,1.0,Marshall Heights,516.0,,1960.0,243.0,38.8850696,-76.9305245
1223,2024-05-03,Condo/Co-op,601 Wharf St SW #504,Washington,DC,20024.0,1089200.0,2.0,2.0,SOUTHWEST WATERFRONT,1195.0,,2022.0,1600.0,38.8765839,-77.0213072
1224,2024-05-10,Condo/Co-op,601 Wharf St SW #502,Washington,DC,20024.0,2232200.0,2.0,2.5,SW WATERFRONT,1600.0,,2022.0,2182.0,38.8765839,-77.0213072
1225,2024-05-17,Townhouse,3410 24th St SE,Washington,DC,20020.0,235000.0,2.0,1.0,Randle Heights,1004.0,2588.0,1946.0,0.0,38.8475627,-76.9696638
1226,2024-04-24,Condo/Co-op,1660 W Virginia Ave NE #101,Washington,DC,20002.0,315000.0,2.0,1.0,Brentwood,645.0,,1931.0,341.0,38.9096463,-76.9872515
1227,2024-05-29,Townhouse,1331 C St NE,Washington,DC,20002.0,863000.0,2.0,1.5,Old City 1,1702.0,1249.0,1942.0,0.0,38.8934078,-76.9867289
1228,2024-04-26,Townhouse,1731 L St NE,Washington,DC,20002.0,525000.0,2.0,1.5,Trinidad,840.0,3033.0,1926.0,0.0,38.9035731,-76.9788538
1229,2024-04-05,Townhouse,1802 M St NE,Washington,DC,20002.0,689000.0,4.0,3.0,Trinidad,1748.0,1400.0,1929.0,0.0,38.9057996,-76.977875
1230,2024-05-06,Townhouse,3964 Ames St NE,Washington,DC,20019.0,570000.0,5.0,2.5,Deanwood,2070.0,3552.0,1942.0,0.0,38.8911153,-76.948087
1231,2024-04-01,Condo/Co-op,217 16th St NE #5,Washington,DC,20002.0,490000.0,1.0,1.0,KINGMAN PARK,775.0,,2024.0,171.0,38.8926341,-76.9817454
