,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50,all_greenspace_area_under2.5km,crosses_highway_under2.5km
2174,4.0,4.0,2887.0,3461.0,1927.0,0.0,0.2490093295907914,287.3985010868273,2.211958391315925,0.2112811602342738,3.134859501521203,2.920605872379148,0.7814331636456463,0.652874631480035,0,0,1,1133000.2345679011,8513495.728377862,False
2175,3.0,2.5,2887.0,2800.0,1937.0,0.0,0.1421402590877312,1419.1327940717747,1.5642509731396563,0.7280578717622841,3.7540199677564434,1.6977862300496005,1.4045669715882323,0.7496483063882561,0,0,1,1369992.792792793,8315620.215777319,False
2176,4.0,2.0,2102.0,7200.0,1950.0,0.0,0.3713705199168162,36626.18740603808,2.1730180468726514,1.169572914089814,2.869309873707341,2.150432630712619,2.9228640457040806,1.2580298180880916,0,1,0,1133000.2345679011,7758467.044251468,False
2177,4.0,3.5,2716.0,4432.0,1942.0,0.0,0.0965237842466544,36754.28582570143,1.2071338722301317,0.2433734797908675,3.986754122943064,1.7158607194911024,0.9183641713382594,0.5563587036136198,0,1,0,1369992.792792793,8270457.438480401,False
2178,3.0,2.0,2363.0,4221.0,1933.0,0.0,0.4037018637791322,68207.7328920303,0.8120267006186844,0.2869286652596218,4.373346862095436,1.6193356805349497,0.6020639776938761,0.4912789137078845,0,1,0,1369992.792792793,8216798.471063666,False
2179,3.0,3.5,2504.0,6615.0,1938.0,0.0,0.3766994123714695,37100.97290262906,1.8414084132131423,0.269980531671399,1.930577553712166,1.8148173188832453,2.363385654115751,0.9453968390844908,0,1,0,1133000.2345679011,8385858.453216469,False
2180,5.0,4.0,4221.0,7500.0,1937.0,0.0,0.3481803935209088,485.136104778474,2.616288412387967,1.22315553087107,2.861835766924701,2.591973762522681,2.498053045134826,1.6891544231667237,0,1,0,1369992.792792793,8359716.681443341,False
2181,3.0,2.5,1990.0,5494.0,1929.0,0.0,0.4423371413483087,537.0074538446497,1.24032748954646,0.4132457285489679,2.0118552605102265,1.213989349986712,2.877965693331926,0.4179169751710856,0,1,0,1133000.2345679011,8877194.698732682,False
2182,3.0,2.0,1515.0,1500.0,1926.0,0.0,0.3205048936542723,12112.90853428794,1.1562257586204092,0.1822696830551251,4.065620498054444,1.970474793829772,0.5580283975206003,0.8012826244468327,0,0,1,1133000.2345679011,8304914.312485848,False
2183,4.0,3.0,1888.0,3502.0,1937.0,0.0,0.4977032587816841,85516.19766601734,2.5607838241330967,1.420787405169092,3.091402414840788,2.538131008997301,2.836547426473584,1.6438471637413643,0,1,0,1133000.2345679011,8291404.811685864,False
