,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_greenspace_loc,closest_metro_direct,closest_metro_loc
11,2024-03-15,Townhouse,100 Forrester St SW,Washington,DC,20032.0,319900.0,2.0,1.5,Congress Heights,1142.0,2428.0,1942.0,0.0,38.8250274,-77.0099575,0.46602442012623346,"(38.82720893438985, -77.01455094038637)",2.9141043708364696,"(38.8445877, -76.9875665)"
12,2024-03-29,Townhouse,623 E St SE,Washington,DC,20003.0,1950000.0,4.0,3.5,Capitol Hill,2456.0,2558.0,1890.0,0.0,38.8825828,-76.9975845,0.173250607140541,"(38.882964125007824, -76.99952519232838)",0.2290957478429058,"(38.8842435, -76.996018)"
13,2024-03-08,Single Family Residential,1617 W W St SE,Washington,DC,20020.0,615000.0,4.0,2.5,Anacostia,2520.0,2880.0,1905.0,0.0,38.8633489,-76.9822429,0.2480261295722164,"(38.86297421652685, -76.9850668482963)",1.1164408522310367,"(38.8622122, -76.9950546)"
14,2024-03-12,Townhouse,1014 S Carolina Ave SE,Washington,DC,20003.0,1250000.0,3.0,2.5,Capitol Hill,1581.0,1188.0,1908.0,0.0,38.8852232,-76.9920837,0.2138679458647754,"(38.88431991428695, -76.99426514041882)",0.33566148664182155,"(38.8842084, -76.995736)"
15,2024-03-29,Single Family Residential,3129 Westover Dr SE,Washington,DC,20020.0,725000.0,5.0,3.5,Hillcrest,3232.0,5089.0,1940.0,0.0,38.8686423,-76.9621937,0.19919495025382472,"(38.870015735703596, -76.96367091694798)",2.2872217319030494,"(38.8856532, -76.9770484)"
16,2024-05-28,Townhouse,709-711 G St SE,Washington,DC,20003.0,2400000.0,8.0,4.0,Old City 1,6469.0,3731.0,1934.0,0.0,38.8810789,-76.9957284,0.1068826310317531,"(38.880921847997065, -76.9945102101)",0.3479851447326494,"(38.8842084, -76.995736)"
17,2024-04-22,Condo/Co-op,525 Water St SW #417,Washington,DC,20024.0,1251300.0,3.0,2.5,R. L. A. SW,1405.0,,2016.0,1389.0,38.8758716,-77.0205659,0.08246734716807487,"(38.87513468621268, -77.02045844728644)",0.2902154254814794,"(38.876611, -77.0173507)"
18,2024-03-29,Townhouse,3655 Horner Pl SE,Washington,DC,20032.0,300000.0,3.0,2.0,Congress Heights,1184.0,1446.0,1953.0,0.0,38.8383679,-77.0045093,0.3778944995620196,"(38.83804054046756, -77.00885208714614)",1.6222000345890903,"(38.8445877, -76.9875665)"
19,2024-03-08,Townhouse,135 Wilmington Pl SE,Washington,DC,20032.0,230000.0,6.0,2.0,Congress Heights,1359.0,3750.0,1940.0,0.0,38.8359332,-77.004109,0.2780642257071245,"(38.83603846259052, -77.00090148518983)",1.725927632828336,"(38.8445877, -76.9875665)"
20,2024-04-18,Townhouse,1319 S Carolina Ave SE,Washington,DC,20003.0,1100000.0,2.0,1.5,Old City 1,1318.0,1359.0,1900.0,0.0,38.8859042,-76.987641,0.09637362659912692,"(38.88595099688685, -76.98875282873887)",0.5816812063041663,"(38.8810515, -76.9851313)"
21,2024-03-15,Townhouse,1917 Naylor Rd SE,Washington,DC,20020.0,324500.0,3.0,1.0,Anacostia,1152.0,1633.0,1937.0,0.0,38.8729716,-76.9776687,0.2195138489373498,"(38.8721809, -76.9753453)",1.0861250542119958,"(38.8807824, -76.9852027)"
22,2024-04-12,Townhouse,89 49th St SE,Washington,DC,20019.0,522000.0,3.0,2.5,Marshall Heights,,1857.0,2023.0,0.0,38.888532,-76.932569,0.1859037594336587,"(38.89003278548224, -76.93162245874778)",0.459654169051353,"(38.8903287, -76.937352)"
23,2024-04-11,Single Family Residential,3309 22nd St NE,Washington,DC,20020.0,450000.0,2.0,2.0,Woodridge,1647.0,4600.0,1909.0,0.0,38.8497628,-76.9744264,0.40520253663778755,"(38.8527645, -76.9770795)",1.2531941441979826,"(38.8454709, -76.987807)"
24,2024-03-07,Condo/Co-op,1025 1st SE #1405,Washington,DC,20003.0,825000.0,2.0,2.0,Old City 1,1188.0,,2009.0,779.0,38.8776645,-77.0061079,0.21913752869512954,"(38.87590230918371, -77.00497449735153)",0.16849639107986347,"(38.8766275, -77.0046886)"
25,2024-05-30,Single Family Residential,3819 Suitland Rd SE,Washington,DC,20020.0,600000.0,3.0,2.5,Hillcrest,2192.0,28048.0,1944.0,0.0,38.8614926,-76.9516358,0.4563542969802711,"(38.8655902, -76.95193216666667)",3.436581592435562,"(38.8903287, -76.937352)"
26,2024-05-28,Single Family Residential,1608 22nd St SE,Washington,DC,20020.0,335000.0,4.0,1.0,Randle Heights,1330.0,3125.0,1912.0,0.0,38.8703323,-76.9747698,0.0685986559917439,"(38.87094503298796, -76.9746776107119)",1.4716997747293672,"(38.8807824, -76.9852027)"
