,LOCATION,PRICE,ZIP OR POSTAL CODE,TARGET_ENCODED_PRICE_5,TARGET_ENCODED_PRICE_10,TARGET_ENCODED_PRICE_15,TARGET_ENCODED_PRICE_20,TARGET_ENCODED_PRICE_25,TARGET_ENCODED_PRICE_30,TARGET_ENCODED_PRICE_35,TARGET_ENCODED_PRICE_40,TARGET_ENCODED_PRICE_45,TARGET_ENCODED_PRICE_50
10,BALLSTON,1125000.0,22201.0,665857.1428571428,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625
11,JEFFERSON RES,440000.0,22203.0,241227.27272727274,241227.27272727274,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235
12,JEFFERSON RES,95500.0,22203.0,241227.27272727274,241227.27272727274,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235
13,FALLVIEW,2534147.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
14,OVER LEE KNOLLS,1015000.0,22205.0,1268302.111111111,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894
15,OLDE BALLSTOWNE,1002927.0,22201.0,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625
16,LEE HEIGHTS,1750000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
17,WILLET HEIGHTS,1300000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
18,ARLINGTON,925000.0,22207.0,1139600.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
19,BELLEVUE FOREST,1250000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
20,LORCOM GROVE,1650000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
21,Arlington,1250000.0,22207.0,1104375.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
22,NORWOOD,875000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
