,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,all_greenspace_area_under1km,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50
1246,-0.5,-0.25,-0.057097541633624106,0.03624801271860095,-0.4065040650406504,-0.2527147087857848,-0.053071559011316057,-0.19068501357461026,-0.44443465051957776,0.4609789072220075,-0.2500682612281184,0.2666533395081515,-0.4581516576177473,-0.6480286877164741,-0.3791334119208429,0,0,1,0.33513066668331304
1372,0.5,0.0,0.3330689928628073,0.19777424483306835,-0.1951219512195122,-0.2527147087857848,0.1890338043068793,-0.15026073470700133,2.579287366707424,0.054804978380622926,-0.5824934734230653,0.7024349501446234,-0.5949183702019815,0.5087650408984112,0.03185054733396447,0,0,1,0.33513066668331304
1703,-0.5,0.0,-0.4662965900079302,-0.2957074721780604,1.2032520325203253,0.15992102665350444,0.4096194054385321,-0.09291269916132189,-0.43865125452723464,-0.44575438610409457,-0.2648860801667757,-0.06442389199907457,-0.7591276479146242,-0.2980217214429403,0.6504297243799083,1,0,0,-0.5302133982818178
1478,0.0,0.0,-0.16574147501982553,-0.01875993640699523,-0.6016260162601627,-0.2527147087857848,-0.8184405569884565,-0.18973646158072804,-0.3885043118055069,-0.25227260167509763,-0.39160037415132604,-0.6474268034464157,-0.497102504136334,-0.06628836096680088,-0.26878933897791635,0,0,1,-0.2618054071058056
303,0.0,0.75,0.4948453608247423,0.033386327503974564,1.2032520325203253,-0.10463968410661402,-0.864002027852125,-0.07434828649757674,-0.4189205620651793,-0.5030777659171063,0.6064104504431844,-0.7200180893582928,0.14324288427054904,-0.22955591112478912,-0.6765476890837021,0,0,1,-0.04658223391740003
1888,-1.0,-0.5,-0.7716098334655036,-0.2957074721780604,1.0731707317073171,0.6456071076011846,-0.2717746704830093,-0.1606141006580621,-0.07556722355469145,-0.2452953309657243,0.277761708370079,-0.7953398278858373,-0.31861196275700887,-0.4595921657926489,-0.44563254289481397,1,0,0,-0.20561588410167156
241,-1.5,-0.5,-0.838223632038065,-0.2957074721780604,0.08130081300813008,0.2764067127344521,-0.5470165083389121,-0.02917329927209266,0.7413834906577923,-0.5618977761643967,2.2433695082745015,-0.45897833384589215,-0.7252468197289168,-0.5749181541616938,-0.40434837256420786,1,0,0,0.09991613044332334
99,0.0,0.0,0.44409199048374304,1.5771065182829889,-0.16260162601626016,-0.2527147087857848,0.485012038685244,-0.10069716718739304,-0.3795947275017181,-0.26479284555398985,1.9319710718586707,0.20666627563850465,1.0996110476306236,0.9251039455608114,2.2205226969871386,0,1,0,1.4944115932154425
1507,-1.5,-0.5,-0.823949246629659,-0.2957074721780604,-0.8943089430894309,0.4738400789733465,-0.48607291172458306,0.0,-0.38573948270214686,-0.3061875561286556,-0.5963004948299175,-0.6989364904162136,-0.029794670120756456,-0.36409723009734113,-0.6634287577421357,1,0,0,-0.20561588410167156
285,0.0,0.0,-0.11419508326724821,0.3783783783783784,-0.1951219512195122,-0.2527147087857848,-0.47618137929042226,-0.15870915558072,-0.39244769785724376,-0.5858784903053812,0.10314926429950566,-0.5923404868970407,-0.5365388226608574,-0.27258087739305525,-0.2865111126400811,0,0,1,-0.3409448213497687
362,0.5,1.0,0.8770816812053925,1.6216216216216217,0.16260162601626016,-0.2527147087857848,-0.15385257774776687,6.491699893086881,0.3224002873758503,0.8455079157725582,2.75423446744845,-0.36121431930851794,0.07501284980673335,-0.2375332134791728,-0.2892296471646673,0,1,0,1.4944115932154425
589,1.0,0.0,0.7232355273592387,2.9618441971383147,0.13008130081300814,-0.2527147087857848,-0.5222063480262464,16.056446433934855,-0.016786736104551926,1.5157162168784648,0.11729160924011861,0.020021374889854848,-0.2586955857924322,-0.5965142124835219,-0.009187716573405363,0,1,0,-0.4340569435537593
876,-1.0,-0.5,-0.5995241871530531,-0.2957074721780604,1.1219512195121952,0.5310957551826259,1.375254723841062,1.8108613460651957,-0.32460456335237964,0.09736248276486116,-0.23638883901837665,0.23021647902990092,-0.022955730133240954,-0.5859293763229874,-0.14570365187731474,1,0,0,0.5656166741262438
1530,0.5,0.75,0.5495638382236321,0.6085850556438792,-0.6016260162601627,-0.2527147087857848,0.057013261460918264,-0.07452509932906998,-0.3673752577102511,0.09539093049075126,0.3191195824124334,-0.7220787826390792,-0.21924735439316095,-0.23488068414670474,-0.008271206683157185,0,0,1,0.201160692866036
1054,-0.5,0.0,-0.126883425852498,-0.2957074721780604,1.1219512195121952,2.207305034550839,-0.7800523104601113,-0.15624367054748142,-0.3005111967225502,-0.41018229221547825,-0.7259700799837393,0.05341950206324104,0.46811756550701333,0.32826481591877005,-0.16891821147361505,1,0,0,0.33513066668331304
2173,-1.0,-0.5,-0.535289452815226,-0.2957074721780604,0.11382113821138211,1.5656465942744324,-0.5624130744949978,28.6900110754372,0.5331942030662411,0.994258197133261,0.6451772106593101,-0.014648836049446504,0.37273795557764844,0.2940635853471518,0.838353977739593,1,0,0,1.4770654411617679
2391,1.0,0.75,0.80253766851705,0.2232114467408585,-0.6666666666666666,-0.2527147087857848,-0.007041651793152596,-0.17989207597244888,4.646083722852535,-0.4509049194262545,0.1543084920939338,-0.3013250516936697,-0.47982261867008974,-0.07870697032079425,-0.44961253067217816,0,0,1,-0.2618054071058056
942,0.5,0.75,0.8057097541633624,0.5176470588235295,-0.975609756097561,-0.2527147087857848,-0.3573529328459016,0.030141157315341074,1.8158348027220024,-0.6286210662093827,-0.06636681986202382,-0.1876168474138327,0.6466190585019305,-0.15993033013130162,-0.5131136232421195,0,0,1,0.4368163211183383
990,0.5,0.75,0.7613005551149881,-0.0009538950715421304,0.8292682926829268,0.18163869693978282,-0.5529204373949937,0.1395989740992951,3.197178548787021,-0.5628916085597293,-0.22658289005271962,-0.7962154723719839,0.11644771177549311,-0.3392707918077444,-0.4113818299936562,0,0,1,-0.39578066774017073
124,-0.5,0.0,-0.45678033306899285,-0.2957074721780604,-0.16260162601626016,-0.2527147087857848,-0.4704641565369613,0.12298842037431475,-0.29073175487764485,-0.22173638541375656,-0.4272915600729621,-0.873879251454817,-0.6170355092758533,-0.42459807047854586,-0.006702126010332205,0,0,1,-0.3409448213497687
2123,-1.0,-0.5,-0.37351308485329104,-0.2957074721780604,0.016260162601626018,1.8163869693978283,-0.3265140173182932,28.6900110754372,0.44717879785698494,0.32469212900231276,0.1928557129908241,-0.21667894480852357,-0.12340579823445481,-0.3134690467791126,-0.07477031886935108,1,0,0,1.4770654411617679
187,0.0,-0.25,-0.022204599524187154,-0.2957074721780604,0.9105691056910569,1.5518262586377098,-0.8068169968744887,-0.18495728904479428,-0.30452352349624773,-0.5302084573799257,0.009996936013169975,-0.870502876261119,-0.511925408547718,-0.5777347950496627,-0.7976744625889708,0,0,1,0.09991613044332334
