,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50,all_greenspace_area_under2.5km,crosses_highway_under2.5km
797,-0.5,0.25,0.2458366375892149,0.5068362480127186,0.5040650406504065,-0.2527147087857848,0.6703121119730534,1.8070130803228528,0.21637316724327757,-0.1436706369005397,0.3409446981148045,-0.18927836284095564,-0.6778265973866787,-0.196498456176871,0,0,1,0.5641819305706691,-0.39933414126879935,False
225,-0.5,-0.5,-0.45519429024583663,-0.2957074721780604,1.024390243902439,0.7936821322803553,1.1494009547310304,-0.0874283072620438,0.30559447007798285,0.5455115497064242,-0.28086994477651955,0.31377247915987466,0.7731352708730317,-0.5113197532491711,1,0,0,0.09966268313384831,-0.3143601146386554,True
2074,-1.5,-0.5,-0.7938144329896907,-0.2957074721780604,0.24390243902439024,0.6811451135241856,0.5464894262240027,5.21406763457874,-0.7493651360854197,-0.6097651621233714,-0.4933928362335381,-0.9365444000702325,0.03507420041379402,-0.7008405724302342,1,0,0,0.8491714501792289,0.7775480596881887,False
1799,-1.0,-0.5,-0.5511498810467883,-0.2957074721780604,0.8943089430894309,1.228035538005923,-0.22551220058386187,-0.13899047332125453,-0.5117006859826827,-0.5801682323640126,-0.837367031059769,-0.712134179169882,-0.4901697946715149,-0.20014293413218887,1,0,0,-0.38385991026035576,0.4506529836753393,False
2325,0.5,0.75,0.41712926249008725,0.2766295707472178,-0.2926829268292683,-0.2527147087857848,0.0855586069576173,-0.17814916793222604,0.22830391407134673,-0.6354057026740303,0.5775830788659653,1.1801245007063124,0.9012398433404772,-0.40742281375310047,0,0,1,-0.34789332288466573,0.4402123459886788,False
2085,-1.0,-0.5,-0.5471847739888978,-0.2957074721780604,0.8455284552845529,0.9180651530108588,-0.7250913605759188,5.21406763457874,-0.4405966270296284,-0.20391266466130983,-0.7190738408333434,-0.6469842663450986,0.5239963578249462,-0.038209001726031776,1,0,0,1.4733187161803258,0.7490779631409396,False
1693,-0.5,0.0,-0.33068992862807295,-0.2957074721780604,-2.113821138211382,0.7324777887462981,0.10624459707177178,-0.14361947878613288,0.04564398815598771,-0.698475248775189,-0.8455689386515235,-0.6193954910255539,-0.3821252447224571,-0.12372571702233916,1,0,0,-0.20509431874100678,0.7570164957119351,True
1045,-0.5,-0.5,-0.4409199048374306,0.12591414944356122,0.0,-0.2527147087857848,0.029375588963850424,4.264825047773197,-0.2594702589236588,-0.4237369377853272,1.8311868836235972,1.4639341463606492,1.7296171063283,4.000849925851464,0,0,1,-1.0592194444194591,0.11483477197319303,True
469,0.0,0.0,-0.3061062648691515,0.5786963434022258,-0.16260162601626016,-0.2527147087857848,0.8683406093071718,0.046299770743142864,1.00717882467105,2.1248496444491143,-0.10190524560618058,0.22904120506379294,0.23561264395654202,0.773199439882116,0,0,1,-0.4329559144805301,-0.5241212818703856,True
954,0.0,0.25,0.47581284694686754,0.4480127186009539,-0.8130081300813008,-0.2527147087857848,-0.45106415007119804,-0.17451386154301346,-0.5139112925186541,0.22242954269246748,-0.12144567488270094,0.299855008705791,-0.37656720248208436,-0.5050213859144641,0,0,1,0.33428057405646094,0.1797412044236899,False
2335,0.5,0.25,0.49325931800158607,0.6772655007949125,0.5040650406504065,-0.2527147087857848,1.569217904468874,1.103044041213882,-0.03628518388363772,-0.5896525926432954,0.22948973292092134,0.6036761064606323,-0.11147533145977118,-0.45333207621773064,0,0,1,-0.21053660035639496,-0.6421170011431382,False
639,-1.0,-0.5,-0.7541633624107851,-0.2957074721780604,0.4878048780487805,0.5074037512339585,0.4393388902633057,0.06712251287389631,1.6827603649803835,2.167184964904464,0.8706420627344059,0.024257292223601224,1.7749056959276388,0.06274632121251496,1,0,0,0.024580105643016097,-0.5168336657111702,False
2183,0.5,0.5,0.35527359238699446,0.8178060413354531,-0.21138211382113822,-0.2527147087857848,2.366098865351529,2.363475070563963,1.4341833720836006,2.7591607863407126,0.2679856979607648,0.6759188012714169,3.1099696200285707,2.4866075562364447,0,1,0,0.8491714501792289,0.4274459314795577,False
1218,0.0,0.25,0.2696272799365583,0.1697933227344992,-0.3252032520325203,-0.2527147087857848,0.7306785134116733,20.034448847163414,0.12693161685694612,-0.29786375143703625,0.758661782682339,-0.5428356063174394,0.37638754557867793,-0.018954315975048965,0,0,1,-1.3146325447147929,0.3207546023276707,False
1158,0.0,0.0,-0.3068992862807296,1.3529411764705883,0.13008130081300814,-0.2527147087857848,-0.1405802753522433,-0.19353523789461785,0.22263992987390738,-0.5513187115706459,1.9611442909713457,1.897447939673738,2.741576918262871,3.9199042041156726,0,1,0,0.33428057405646094,-0.28678737038421237,False
1415,-1.5,-0.5,-0.8643933386201428,-0.2957074721780604,-0.4878048780487805,0.33563672260612043,-0.21839955110312714,-0.17479111120009755,-0.186196922884537,-0.11453002065794506,-0.6411347096398899,-0.1686134949438345,-0.40380605944869064,-0.24554815629402368,1,0,0,0.33428057405646094,1.4187693464715834,False
2133,-1.0,-0.5,-0.5154639175257731,-0.2957074721780604,0.22764227642276422,1.6742349457058243,-0.25370269137871265,2.583808634135824,-0.5670720739198097,-0.2521890428535454,-0.8620604157628811,-0.34531464360278963,1.1439701399753137,0.9406988621144817,1,0,0,1.4733187161803258,0.7153072736253093,False
1527,0.0,0.0,0.13481363996827914,-0.2957074721780604,0.11382113821138211,0.2744323790720632,0.5964388834850368,-0.1646222943333971,-0.508459468346872,-0.6252818828304015,-0.5629930416944078,-0.670632322080772,0.13124153209957068,0.09198836439267277,1,0,0,-0.20509431874100678,0.5099624316487211,False
2295,0.0,0.25,0.04440919904837431,0.5481717011128776,0.0,-0.2527147087857848,-0.5331736360625023,0.3892792025039469,-0.10861170978653681,-0.8716865328900648,0.8411657795798508,1.379019915726708,0.7972486109435506,0.4841321634516138,0,0,1,-0.34789332288466573,-0.6657191924051398,False
