,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,all_greenspace_area_under1km,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50
0,1.0,1.0,698.0,0.0,2005.0,522.0,0.1227730422297423,2778.8297168426216,218198.5109954704,0.17748349612912095,0.2530843393807611,0.23039633937939064,0.3673599898587756,0.1990544537444513,0.3394685087761275,1,0,0,792921.9140625
1,3.0,3.0,3812.0,17424.0,1937.0,1.4210854715202004e-14,0.2907244786765482,305.31300733145326,105694.01435781771,2.6341390046497257,0.1909137750831896,2.584436101200996,2.8501232742094613,0.13324606195265593,0.8009165490402821,0,1,0,1535607.5316455695
2,1.0,1.0,714.0000000000001,0.0,1985.0,407.0,0.042833841960990104,2778.8297168426216,186993.31003887148,0.09550418651962489,0.3140280879413786,0.4258328170610097,0.41411656841839517,0.3864266988800454,0.2385261468559558,1,0,0,792921.9140625
3,1.0,1.0,752.0000000000001,0.0,2003.0,419.0,0.1363446206650208,241.77230931614758,330891.59656285896,0.24309207990376236,0.2424261053411485,0.11761208804628609,0.2076934796237666,0.1464940200901676,0.290336848895894,1,0,0,681434.1470588235
4,5.0,4.5,5694.0,6686.0,2007.0,1.4210854715202004e-14,0.030358012899462494,14014.192196700256,387061.1070214098,2.0401128118473486,0.8301821227089736,2.163361399030661,2.3490020348627234,1.2205425699434107,0.5821563806081373,0,1,0,1535607.5316455695
5,3.0,2.5,1452.0,6263.0,1947.0,1.4210854715202004e-14,0.2776379010527839,14472.086749025157,342238.98785433604,1.0340890885585896,0.8930611142642193,2.7627899234861943,2.9639304647308533,1.4990498639865983,0.8581329074382007,0,1,0,1376562.5263157894
6,2.0,2.0,1042.0,5100.0,1938.0,1.4210854715202004e-14,0.4058081996859946,2922.767563968897,170915.1364867685,1.2887162383411068,0.3935213428329471,2.2672347332657425,2.502185546355747,1.4292435584034653,1.2203090193631034,0,1,0,1376562.5263157894
7,4.0,3.5,1880.0,3367.0,1938.0,1.4210854715202004e-14,0.030627435478762594,2876.9126483500004,140557.95442193653,1.944683831010162,0.1424515750065821,1.8755993161761195,2.145042581703512,0.2301694523169745,0.18967174043872176,0,0,1,1535607.5316455695
8,5.0,4.5,4551.0,7500.000000000001,2024.0,1.4210854715202004e-14,0.7713053016604414,305.31300733145326,419.8075570802903,3.3601811595980884,0.3317410201985932,3.6361159103676455,3.905068295027668,0.8065107817148423,1.4889987779050344,0,1,0,1535607.5316455695
9,4.0,4.0,1900.0,1360.0,2015.0,175.0,0.23115871102920743,15797.178142389632,453751.2795821087,1.7947393118892014,0.48482275812046,1.4582532290762893,1.6650086152187338,0.8138517770501756,0.8830630924493089,0,0,1,1376562.5263157894
10,4.0,1.0,1984.0,9525.0,1925.0,1.4210854715202004e-14,0.1049102521860987,1427.0112796379253,215994.5655563557,0.585413506175944,0.6052620790265177,0.6942231709127773,0.8736456741636361,0.2830861796041402,0.5673886085125219,0,1,0,792921.9140625
11,2.0,2.0,1423.0,0.0,1992.0,552.0,0.04693021840925522,3212.260134304874,352654.631427061,0.14176419481503433,0.3669480090575031,0.2514690121311345,0.1947503176270915,0.1570495275245925,0.1675361642059932,1,0,0,681434.1470588235
12,1.0,1.0,775.0,0.0,1992.0,295.0,0.04693021840925522,3212.260134304874,352654.631427061,0.14176419481503433,0.3669480090575031,0.2514690121311345,0.1947503176270915,0.1570495275245925,0.1675361642059932,1,0,0,681434.1470588235
